Date,omega,alpha,beta,persistence,sigma2,sigma
2023-02-08,2.5917047e-05,0.079122305,0.8229835,0.9021058,0.0005151089,0.02269601
2023-02-09,2.07451e-05,0.07695439,0.83949,0.91644436,0.0004724029,0.021734832
2023-02-10,3.7668804e-05,0.088027075,0.820229,0.90825605,0.00041960625,0.020484293
2023-02-13,1.3175107e-05,0.07533988,0.8442064,0.91954625,0.00042005046,0.020495133
2023-02-14,1.5427233e-05,0.07422292,0.84661824,0.92084116,0.0003697025,0.01922765
2023-02-15,7.279956e-05,0.089563824,0.8051774,0.89474124,0.00034251186,0.018507076
2023-02-16,3.4813685e-05,0.091121905,0.8184133,0.9095352,0.00035199354,0.018761491
2023-02-17,5.0378272e-05,0.092349745,0.8104785,0.9028283,0.00032309003,0.017974705
2023-02-21,5.7981706e-05,0.0928135,0.80453587,0.89734936,0.0003845503,0.019609954
2023-02-22,1.6845202e-05,0.08316176,0.8307469,0.91390866,0.00036797897,0.019182777
2023-02-23,3.8636954e-05,0.08480799,0.8165854,0.9013934,0.00039568217,0.019891761
2023-02-24,3.025582e-05,0.0924185,0.811163,0.9035815,0.00039260843,0.01981435
2023-02-27,5.2173218e-05,0.0940495,0.7957981,0.88984764,0.00036214813,0.01903019
2023-02-28,7.02591e-05,0.09510464,0.7921507,0.8872553,0.00034737441,0.018637983
2023-03-01,1.6490558e-05,0.075222775,0.838503,0.9137258,0.00037533458,0.019373553
2023-03-02,1.5114942e-06,0.0505451,0.89319265,0.94373775,0.00033610026,0.018333038
2023-03-03,2.0170308e-05,0.08355938,0.8299202,0.91347957,0.00030342743,0.017419169
2023-03-06,2.981603e-05,0.0935674,0.8106929,0.9042603,0.00030232026,0.017387358
2023-03-07,3.2490889e-06,0.065524004,0.8723893,0.9379133,0.0002834076,0.016834714
2023-03-08,1.0426417e-05,0.066103235,0.85644865,0.9225519,0.00033854885,0.018399697
2023-03-09,2.497733e-05,0.09522299,0.8148657,0.9100887,0.00031011584,0.017610107
2023-03-10,9.602542e-05,0.118903436,0.76806813,0.8869716,0.00029266984,0.017107597
2023-03-13,1.346206e-05,0.0829159,0.83084464,0.91376054,0.00033906815,0.018413803
2023-03-14,0.0002780616,0.12968814,0.7296274,0.8593155,0.00034712953,0.018631412
2023-03-15,7.727107e-05,0.097450316,0.7917817,0.88923204,0.00082653546,0.02874953
2023-03-16,0.00025059146,0.13347013,0.7364826,0.86995274,0.0010134558,0.031834822
2023-03-17,0.00018112942,0.12509418,0.7432443,0.86833847,0.0010121989,0.031815074
2023-03-20,0.00040053466,0.11947521,0.72893596,0.84841114,0.0010057708,0.031713888
2023-03-21,0.0005673309,0.1360586,0.7067798,0.8428384,0.0011544512,0.033977214
2023-03-22,0.00012495427,0.11259803,0.7677909,0.880389,0.001464739,0.038271908
